統計項目,資料期(民國年),統計值(美元),計量單位(美元),統計值(新台幣),計量單位(新台幣)
外銷訂單金額,09709,31791,百萬美元,10159,新臺幣億元
外銷訂單金額,09710,30413,百萬美元,9942,新臺幣億元
外銷訂單金額,09711,22800,百萬美元,7550,新臺幣億元
外銷訂單金額,09712,20785,百萬美元,6890,新臺幣億元
外銷訂單金額,09801,17675,百萬美元,5891,新臺幣億元
外銷訂單金額,09802,20116,百萬美元,6895,新臺幣億元
外銷訂單金額,09803,23935,百萬美元,8219,新臺幣億元
外銷訂單金額,09804,25125,百萬美元,8466,新臺幣億元
外銷訂單金額,09805,25166,百萬美元,8281,新臺幣億元
外銷訂單金額,09806,27936,百萬美元,9161,新臺幣億元
外銷訂單金額,09807,28614,百萬美元,9420,新臺幣億元
外銷訂單金額,09808,28286,百萬美元,9302,新臺幣億元
外銷訂單金額,09809,30837,百萬美元,10049,新臺幣億元
外銷訂單金額,09810,31755,百萬美元,10266,新臺幣億元
外銷訂單金額,09811,31259,百萬美元,10108,新臺幣億元
外銷訂單金額,09812,31726,百萬美元,10241,新臺幣億元
外銷訂單金額,09901,30371,百萬美元,9687,新臺幣億元
外銷訂單金額,09902,27406,百萬美元,8796,新臺幣億元
外銷訂單金額,09903,34387,百萬美元,10962,新臺幣億元
外銷訂單金額,09904,33959,百萬美元,10704,新臺幣億元
外銷訂單金額,09905,33729,百萬美元,10780,新臺幣億元
外銷訂單金額,09906,34222,百萬美元,11056,新臺幣億元
外銷訂單金額,09907,33830,百萬美元,10884,新臺幣億元
外銷訂單金額,09908,34878,百萬美元,11143,新臺幣億元
外銷訂單金額,09909,35979,百萬美元,11433,新臺幣億元
外銷訂單金額,09910,35647,百萬美元,11036,新臺幣億元
外銷訂單金額,09911,35740,百萬美元,10974,新臺幣億元
外銷訂單金額,09912,36567,百萬美元,11171,新臺幣億元
外銷訂單金額,10001,34458,百萬美元,10204,新臺幣億元
外銷訂單金額,10002,28872,百萬美元,8487,新臺幣億元
外銷訂單金額,10003,38986,百萬美元,11512,新臺幣億元
外銷訂單金額,10004,37406,百萬美元,10851,新臺幣億元
外銷訂單金額,10005,37616,百萬美元,10839,新臺幣億元
外銷訂單金額,10006,37362,百萬美元,10787,新臺幣億元
外銷訂單金額,10007,37587,百萬美元,10847,新臺幣億元
外銷訂單金額,10008,36716,百萬美元,10647,新臺幣億元
外銷訂單金額,10009,36958,百萬美元,10993,新臺幣億元
外銷訂單金額,10010,37205,百萬美元,11265,新臺幣億元
外銷訂單金額,10011,36651,百萬美元,11084,新臺幣億元
外銷訂單金額,10012,36304,百萬美元,10990,新臺幣億元
外銷訂單金額,10101,31485,百萬美元,9465,新臺幣億元
外銷訂單金額,10102,33953,百萬美元,10037,新臺幣億元
外銷訂單金額,10103,38370,百萬美元,11337,新臺幣億元
外銷訂單金額,10104,36089,百萬美元,10648,新臺幣億元
外銷訂單金額,10105,36474,百萬美元,10768,新臺幣億元
外銷訂單金額,10106,36382,百萬美元,10896,新臺幣億元
外銷訂單金額,10107,35937,百萬美元,10784,新臺幣億元
外銷訂單金額,10108,36153,百萬美元,10842,新臺幣億元
外銷訂單金額,10109,37662,百萬美元,11151,新臺幣億元
外銷訂單金額,10110,38380,百萬美元,11259,新臺幣億元
外銷訂單金額,10111,40726,百萬美元,11886,新臺幣億元
外銷訂單金額,10112,39392,百萬美元,11470,新臺幣億元
外銷訂單金額,10201,37137,百萬美元,10838,新臺幣億元
外銷訂單金額,10202,29039,百萬美元,8614,新臺幣億元
外銷訂單金額,10203,35839,百萬美元,10679,新臺幣億元
外銷訂單金額,10204,35688,百萬美元,10664,新臺幣億元
外銷訂單金額,10205,36328,百萬美元,10858,新臺幣億元
外銷訂單金額,10206,35094,百萬美元,10559,新臺幣億元
外銷訂單金額,10207,36116,百萬美元,10850,新臺幣億元
外銷訂單金額,10208,36319,百萬美元,10906,新臺幣億元
外銷訂單金額,10209,38419,百萬美元,11442,新臺幣億元
外銷訂單金額,10210,39591,百萬美元,11676,新臺幣億元
外銷訂單金額,10211,41046,百萬美元,12145,新臺幣億元
外銷訂單金額,10212,42313,百萬美元,12615,新臺幣億元
外銷訂單金額,10301,36109,百萬美元,10928,新臺幣億元
外銷訂單金額,10302,30706,百萬美元,9328,新臺幣億元
外銷訂單金額,10303,37940,百萬美元,11551,新臺幣億元
外銷訂單金額,10304,38868,百萬美元,11765,新臺幣億元
外銷訂單金額,10305,38018,百萬美元,11473,新臺幣億元
外銷訂單金額,10306,38817,百萬美元,11662,新臺幣億元
外銷訂單金額,10307,38182,百萬美元,11455,新臺幣億元
外銷訂單金額,10308,38210,百萬美元,11477,新臺幣億元
外銷訂單金額,10309,43313,百萬美元,13061,新臺幣億元
外銷訂單金額,10310,44911,百萬美元,13667,新臺幣億元
外銷訂單金額,10311,43512,百萬美元,13399,新臺幣億元
外銷訂單金額,10312,44228,百萬美元,13910,新臺幣億元
外銷訂單金額,10401,39038,百萬美元,12369,新臺幣億元
外銷訂單金額,10402,29890,百萬美元,9435,新臺幣億元
外銷訂單金額,10403,38427,百萬美元,12114,新臺幣億元
外銷訂單金額,10404,37318,百萬美元,11617,新臺幣億元
外銷訂單金額,10405,35793,百萬美元,10994,新臺幣億元
外銷訂單金額,10406,36582,百萬美元,11382,新臺幣億元
外銷訂單金額,10407,36287,百萬美元,11373,新臺幣億元
外銷訂單金額,10408,35026,百萬美元,11344,新臺幣億元
外銷訂單金額,10409,41345,百萬美元,13598,新臺幣億元
外銷訂單金額,10410,42548,百萬美元,13925,新臺幣億元
外銷訂單金額,10411,40755,百萬美元,13368,新臺幣億元
外銷訂單金額,10412,38805,百萬美元,12808,新臺幣億元
外銷訂單金額,10501,34186,百萬美元,11502,新臺幣億元
外銷訂單金額,10502,27669,百萬美元,9284,新臺幣億元
